record_id,year,central_ministry,central_scheme,state,district,city,state_scheme,project_type,vendor_name,central_allocated_funds,state_received_funds,district_received_funds,project_budget,spent_amount,fund_utilization_rate,project_status,project_start_date,expected_completion,actual_completion,citizen_complaints,citizen_rating,completion_verified
11,2024,Ministry of Rural Development,PM Gram Sadak Yojana,Gujarat,Vadodara,Alkapuri,Smart City Initiative,Road Construction,Vendor_1047,309560948,102696075,67373686,68263286,87055628,1.275,Delayed,28-09-2024,24-01-2025,19-01-2025,243,1.58,Yes
12,2024,Ministry of Rural Development,PM Gram Sadak Yojana,Tamil Nadu,Chennai,T Nagar,Smart City Initiative,Hospital Upgrade,Vendor_1058,381390513,240816213,191951488,221660492,186615705,0.842,Completed,15-08-2024,08-12-2024,30-01-2025,249,3.24,Yes
13,2025,Ministry of Rural Development,Ayushman Bharat,Maharashtra,Mumbai,Andheri,Urban Housing Scheme,Hospital Upgrade,Vendor_1035,358974914,188479857,119716253,72727609,54001527,0.743,Completed,09-02-2023,09-07-2023,22-09-2023,3,1.39,Yes
14,2023,Ministry of Infrastructure,PM Awas Yojana,Gujarat,Ahmedabad,Navrangpura,Urban Transport Improvement,School Building,Vendor_1033,278622371,160866591,119282810,110280904,51370560,0.466,Ongoing,16-04-2024,22-08-2024,29-07-2024,249,3.87,No
15,2023,Ministry of Health,Jal Jeevan Mission,Tamil Nadu,Coimbatore,RS Puram,State Road Development,School Building,Vendor_1008,105844122,36183958,22283296,13918610,10187791,0.732,Ongoing,05-08-2023,23-11-2023,28-12-2023,97,4.37,Yes
16,2023,Ministry of Rural Development,PM Gram Sadak Yojana,Gujarat,Surat,Adajan,Urban Transport Improvement,Bridge Development,Vendor_1072,320188476,211710873,66317801,64071473,15761917,0.246,Delayed,28-03-2023,09-07-2023,09-07-2023,230,2.16,Yes
17,2025,Ministry of Health,PM Gram Sadak Yojana,Karnataka,Bangalore,Whitefield,Urban Transport Improvement,Hospital Upgrade,Vendor_1078,199367775,104839801,64212640,34479571,19400729,0.563,Ongoing,20-05-2024,01-10-2024,23-09-2024,255,4.03,No
18,2024,Ministry of Infrastructure,Jal Jeevan Mission,Karnataka,Bangalore,Whitefield,Smart City Initiative,School Building,Vendor_1017,90379059,61630037,20528928,15908786,6753069,0.424,Completed,09-02-2023,15-05-2023,20-06-2023,9,4.29,No
19,2023,Ministry of Education,Digital India,Tamil Nadu,Madurai,Anna Nagar,Urban Housing Scheme,Bridge Development,Vendor_1098,260525227,114193291,84135675,83297196,18489410,0.222,Delayed,04-02-2023,05-06-2023,26-05-2023,287,4.16,No
20,2025,Ministry of Rural Development,Jal Jeevan Mission,Tamil Nadu,Coimbatore,RS Puram,Urban Housing Scheme,School Building,Vendor_1036,102433274,44799567,16169778,16416047,11702694,0.713,Completed,11-05-2024,23-10-2024,03-02-2025,173,1.79,Yes
21,2023,Ministry of Health,Jal Jeevan Mission,Maharashtra,Pune,Hinjewadi,Smart City Initiative,School Building,Vendor_1059,67663145,22211413,11566610,7879585,1955683,0.248,Ongoing,27-07-2024,25-12-2024,31-01-2025,209,4.85,No
22,2025,Ministry of Education,PM Gram Sadak Yojana,Tamil Nadu,Chennai,T Nagar,Smart City Initiative,Water Pipeline,Vendor_1001,238045101,140242721,104152925,55779622,34954710,0.627,Completed,01-10-2023,16-01-2024,13-01-2024,207,4.39,Yes
23,2025,Ministry of Health,PM Gram Sadak Yojana,Tamil Nadu,Madurai,Anna Nagar,Urban Housing Scheme,School Building,Vendor_1042,275759149,115275969,55762665,31913583,16282598,0.51,Delayed,29-05-2023,07-11-2023,10-02-2024,83,1.35,No
24,2023,Ministry of Infrastructure,Digital India,Maharashtra,Nagpur,Sitabuldi,State Road Development,Hospital Upgrade,Vendor_1051,99439347,46061296,17554964,17729947,5675367,0.32,Delayed,26-01-2024,19-06-2024,08-06-2024,5,4.79,Yes
25,2024,Ministry of Health,PM Awas Yojana,Karnataka,Bangalore,Indiranagar,Smart City Initiative,Bridge Development,Vendor_1013,334690510,216184857,147586082,149441673,166067256,1.111,Ongoing,16-08-2024,24-10-2024,26-12-2024,141,1.58,No
26,2025,Ministry of Rural Development,Jal Jeevan Mission,Uttar Pradesh,Varanasi,Sigra,State Road Development,Road Construction,Vendor_1022,284582742,115887909,37718543,34706127,40154220,1.157,Ongoing,02-09-2024,09-01-2025,16-12-2024,153,1.39,No
27,2023,Ministry of Infrastructure,Ayushman Bharat,Gujarat,Vadodara,Alkapuri,Smart City Initiative,Bridge Development,Vendor_1098,202513758,62172720,27800145,24574481,18549069,0.755,Delayed,12-06-2023,22-08-2023,20-08-2023,49,2.6,No
28,2024,Ministry of Infrastructure,Jal Jeevan Mission,Uttar Pradesh,Lucknow,Gomti Nagar,Urban Housing Scheme,Water Pipeline,Vendor_1026,390126654,143857397,77926360,50622306,40536072,0.801,Ongoing,27-08-2023,31-10-2023,21-11-2023,245,3.87,Yes
29,2025,Ministry of Infrastructure,Ayushman Bharat,Gujarat,Surat,Adajan,Smart City Initiative,Road Construction,Vendor_1032,353475369,203564912,120067570,79549919,100227910,1.26,Completed,22-11-2023,28-04-2024,29-03-2024,32,3.21,Yes
30,2023,Ministry of Education,PM Gram Sadak Yojana,Uttar Pradesh,Kanpur,Kalyanpur,Smart City Initiative,Water Pipeline,Vendor_1034,62771114,35291104,22682239,20844176,5910625,0.284,Ongoing,01-11-2024,17-03-2025,09-04-2025,214,2.05,Yes
31,2025,Ministry of Education,PM Gram Sadak Yojana,Gujarat,Surat,Adajan,Urban Transport Improvement,Bridge Development,Vendor_1071,321271648,208776117,71869637,52056960,45960313,0.883,Completed,16-02-2024,19-05-2024,26-06-2024,13,2.58,No
32,2024,Ministry of Education,Jal Jeevan Mission,Maharashtra,Pune,Hinjewadi,Smart City Initiative,Hospital Upgrade,Vendor_1096,81161576,32764664,24176947,23337777,15550895,0.666,Delayed,27-09-2023,13-03-2024,14-02-2024,217,3.62,Yes
33,2024,Ministry of Infrastructure,Ayushman Bharat,Uttar Pradesh,Lucknow,Gomti Nagar,State Road Development,Water Pipeline,Vendor_1065,104770272,64061569,19607342,9764053,5720316,0.586,Ongoing,01-05-2024,18-10-2024,08-10-2024,111,4.64,Yes
34,2023,Ministry of Infrastructure,PM Gram Sadak Yojana,Maharashtra,Pune,Shivajinagar,Urban Transport Improvement,Hospital Upgrade,Vendor_1057,264331969,122505266,74278060,72887455,17106514,0.235,Completed,18-01-2023,15-06-2023,31-07-2023,229,3.81,No
35,2024,Ministry of Infrastructure,Jal Jeevan Mission,Maharashtra,Mumbai,Borivali,Urban Housing Scheme,Bridge Development,Vendor_1019,95264812,54170103,19649163,14415997,7090497,0.492,Ongoing,21-11-2024,09-05-2025,14-04-2025,263,1.28,No
36,2025,Ministry of Education,Jal Jeevan Mission,Karnataka,Bangalore,Whitefield,Smart City Initiative,School Building,Vendor_1005,97816535,33952390,25729181,26056210,33181444,1.273,Delayed,03-01-2024,09-06-2024,29-06-2024,16,1.35,No
37,2025,Ministry of Rural Development,Jal Jeevan Mission,Maharashtra,Nashik,Panchavati,Urban Transport Improvement,Hospital Upgrade,Vendor_1086,103981516,54610685,39070995,38075275,46758153,1.228,Completed,02-10-2024,05-03-2025,07-03-2025,78,1.65,Yes
38,2024,Ministry of Health,PM Awas Yojana,Tamil Nadu,Chennai,T Nagar,Smart City Initiative,Bridge Development,Vendor_1021,124944220,59208477,17978776,15006358,10750527,0.716,Completed,07-05-2024,16-09-2024,08-10-2024,67,3,Yes
39,2025,Ministry of Education,PM Awas Yojana,Uttar Pradesh,Varanasi,Sigra,Urban Housing Scheme,Hospital Upgrade,Vendor_1034,169119129,61906685,26473755,18597716,4253179,0.229,Delayed,06-02-2024,11-04-2024,27-07-2024,114,3.19,No
40,2023,Ministry of Education,PM Gram Sadak Yojana,Uttar Pradesh,Lucknow,Gomti Nagar,Urban Transport Improvement,Water Pipeline,Vendor_1094,340242603,205061767,92180939,93473406,57393821,0.614,Completed,30-10-2023,20-04-2024,22-07-2024,17,4.09,Yes
41,2024,Ministry of Infrastructure,Digital India,Uttar Pradesh,Lucknow,Gomti Nagar,Urban Housing Scheme,Hospital Upgrade,Vendor_1013,358080555,179121989,75465856,81169767,71132223,0.876,Ongoing,03-11-2023,14-01-2024,13-05-2024,172,1.96,No
42,2023,Ministry of Infrastructure,Digital India,Tamil Nadu,Coimbatore,RS Puram,Urban Transport Improvement,Road Construction,Vendor_1094,219157268,94074792,61596306,59867057,76003695,1.27,Delayed,09-09-2023,05-12-2023,08-01-2024,141,2.11,Yes
43,2023,Ministry of Health,Jal Jeevan Mission,Tamil Nadu,Coimbatore,RS Puram,Smart City Initiative,Water Pipeline,Vendor_1005,165743439,68492773,37539005,36937249,12620099,0.342,Ongoing,26-07-2024,19-01-2025,10-05-2025,297,3.26,Yes
44,2024,Ministry of Education,Ayushman Bharat,Tamil Nadu,Madurai,Anna Nagar,Smart City Initiative,Bridge Development,Vendor_1043,59661785,30808567,21458777,19369815,9490338,0.49,Delayed,17-12-2023,09-06-2024,29-09-2024,168,3.46,Yes
45,2024,Ministry of Health,Digital India,Uttar Pradesh,Kanpur,Kalyanpur,Urban Housing Scheme,School Building,Vendor_1081,85215301,55597490,32708280,33502633,34356019,1.025,Completed,07-12-2023,15-03-2024,03-03-2024,49,2.61,Yes
46,2025,Ministry of Education,Digital India,Tamil Nadu,Madurai,Anna Nagar,State Road Development,Hospital Upgrade,Vendor_1087,184852532,72633483,53863895,52768732,19951216,0.378,Completed,28-02-2023,04-07-2023,11-06-2023,133,4.75,No
47,2023,Ministry of Health,PM Awas Yojana,Maharashtra,Nagpur,Dharampeth,State Road Development,Road Construction,Vendor_1089,338236387,232735959,72587558,50416535,49347015,0.979,Completed,28-04-2024,11-08-2024,20-10-2024,268,2.29,No
48,2024,Ministry of Education,Jal Jeevan Mission,Gujarat,Ahmedabad,Navrangpura,Smart City Initiative,Road Construction,Vendor_1018,393765648,264431617,104743810,55258364,44999763,0.814,Delayed,05-02-2024,19-06-2024,29-08-2024,259,4.02,Yes
49,2024,Ministry of Rural Development,PM Awas Yojana,Karnataka,Bangalore,Whitefield,State Road Development,School Building,Vendor_1085,206868959,105067529,46821551,41941846,24228807,0.578,Delayed,03-10-2024,25-02-2025,06-06-2025,190,2.03,Yes
50,2025,Ministry of Education,Ayushman Bharat,Maharashtra,Nashik,Panchavati,Urban Transport Improvement,Bridge Development,Vendor_1032,286487096,166344336,114239152,81313464,105135102,1.293,Ongoing,01-12-2023,29-05-2024,17-09-2024,121,1.31,Yes
51,2024,Ministry of Health,PM Gram Sadak Yojana,Gujarat,Surat,Adajan,Smart City Initiative,Hospital Upgrade,Vendor_1076,334510039,226269108,125627054,130791866,70916322,0.542,Delayed,28-11-2023,11-03-2024,13-03-2024,116,4.38,No
52,2024,Ministry of Infrastructure,Ayushman Bharat,Maharashtra,Pune,Shivajinagar,Urban Transport Improvement,Hospital Upgrade,Vendor_1051,356009860,115165140,50419171,23442052,24879996,1.061,Delayed,01-12-2024,15-02-2025,13-06-2025,45,1.9,Yes
53,2023,Ministry of Education,PM Gram Sadak Yojana,Tamil Nadu,Madurai,Anna Nagar,Urban Housing Scheme,Hospital Upgrade,Vendor_1056,139027527,51161902,20901554,8607016,9729183,1.13,Completed,10-02-2023,21-07-2023,31-07-2023,157,3.32,No
54,2024,Ministry of Rural Development,Jal Jeevan Mission,Gujarat,Vadodara,Alkapuri,State Road Development,Road Construction,Vendor_1002,109714804,73590719,43445808,24145873,14175036,0.587,Delayed,07-07-2023,07-12-2023,23-12-2023,77,1.52,Yes
55,2025,Ministry of Education,Digital India,Karnataka,Bangalore,Whitefield,Urban Transport Improvement,Water Pipeline,Vendor_1045,128485010,55885954,26795355,19682908,15808418,0.803,Completed,13-02-2024,13-04-2024,11-07-2024,238,3.65,No
56,2024,Ministry of Rural Development,Ayushman Bharat,Tamil Nadu,Chennai,T Nagar,State Road Development,School Building,Vendor_1092,361119561,121927407,68033574,61180200,41849242,0.684,Delayed,12-06-2023,12-10-2023,16-09-2023,23,1.28,Yes
57,2023,Ministry of Education,Jal Jeevan Mission,Tamil Nadu,Madurai,Anna Nagar,Urban Transport Improvement,School Building,Vendor_1028,288030785,144958258,94838133,38619957,47372570,1.227,Delayed,16-11-2024,15-03-2025,23-02-2025,92,3.31,No
58,2024,Ministry of Health,PM Awas Yojana,Uttar Pradesh,Kanpur,Kalyanpur,Smart City Initiative,Hospital Upgrade,Vendor_1094,289779068,164486232,93401828,103627528,51325956,0.495,Ongoing,13-02-2024,20-07-2024,18-07-2024,115,4.86,Yes
59,2023,Ministry of Education,PM Awas Yojana,Maharashtra,Nashik,Panchavati,State Road Development,Road Construction,Vendor_1068,225853448,68806225,45120997,36585820,21099234,0.577,Delayed,30-10-2023,11-04-2024,11-04-2024,220,1.78,No
60,2024,Ministry of Health,Jal Jeevan Mission,Tamil Nadu,Madurai,Anna Nagar,Urban Housing Scheme,Water Pipeline,Vendor_1047,377256678,174431401,107901585,54947412,67515950,1.229,Ongoing,21-11-2024,15-04-2025,25-04-2025,279,2.26,No
61,2023,Ministry of Infrastructure,Ayushman Bharat,Maharashtra,Pune,Shivajinagar,Urban Housing Scheme,Hospital Upgrade,Vendor_1032,175583800,67321859,20704836,13508622,11386580,0.843,Completed,10-12-2023,15-02-2024,19-05-2024,226,4.25,No
62,2025,Ministry of Infrastructure,Ayushman Bharat,Uttar Pradesh,Kanpur,Kalyanpur,Smart City Initiative,Water Pipeline,Vendor_1077,205462848,115982039,39599205,33241296,23868765,0.718,Ongoing,25-03-2024,07-09-2024,07-10-2024,267,1.77,No
63,2024,Ministry of Rural Development,PM Awas Yojana,Karnataka,Hubli,Keshwapur,Urban Housing Scheme,Bridge Development,Vendor_1075,272411439,97440619,46171107,43961481,33589418,0.764,Completed,30-11-2023,20-04-2024,22-04-2024,6,2.76,Yes
64,2023,Ministry of Health,Ayushman Bharat,Uttar Pradesh,Kanpur,Kalyanpur,Smart City Initiative,Bridge Development,Vendor_1055,381922392,261124192,108699851,102644908,92931896,0.905,Delayed,03-01-2024,20-04-2024,25-05-2024,105,2.76,No
65,2024,Ministry of Health,Ayushman Bharat,Uttar Pradesh,Kanpur,Kalyanpur,Smart City Initiative,Road Construction,Vendor_1078,67097878,42327038,24524517,16955183,17886213,1.055,Delayed,15-12-2023,09-03-2024,01-07-2024,121,2.18,Yes
66,2025,Ministry of Education,Jal Jeevan Mission,Maharashtra,Pune,Shivajinagar,Smart City Initiative,Bridge Development,Vendor_1073,66725297,39012258,13248335,10714050,3792499,0.354,Ongoing,29-04-2024,23-08-2024,25-10-2024,273,3.51,Yes
67,2023,Ministry of Infrastructure,PM Gram Sadak Yojana,Karnataka,Mysore,VV Mohalla,State Road Development,School Building,Vendor_1021,219927267,122721181,52505716,58236959,30202189,0.519,Delayed,14-04-2023,14-08-2023,15-09-2023,50,4.89,No
68,2023,Ministry of Health,PM Awas Yojana,Karnataka,Hubli,Keshwapur,Urban Transport Improvement,School Building,Vendor_1003,273788715,94052316,66495479,43216545,47384212,1.096,Completed,18-12-2023,10-04-2024,06-05-2024,119,3.07,Yes
69,2023,Ministry of Infrastructure,PM Gram Sadak Yojana,Gujarat,Surat,Adajan,State Road Development,Hospital Upgrade,Vendor_1098,62021904,39442734,21784310,12462609,11386226,0.914,Delayed,04-03-2023,19-05-2023,09-07-2023,289,3.84,No
70,2023,Ministry of Health,PM Gram Sadak Yojana,Gujarat,Surat,Adajan,Smart City Initiative,Road Construction,Vendor_1047,109475893,67426849,42931860,28386275,35725882,1.259,Ongoing,18-05-2023,02-10-2023,14-09-2023,97,3.27,Yes
71,2023,Ministry of Rural Development,PM Awas Yojana,Karnataka,Bangalore,Whitefield,Urban Housing Scheme,Road Construction,Vendor_1061,274018298,131385624,94849074,48510922,41756082,0.861,Delayed,20-08-2024,22-12-2024,27-11-2024,203,3.12,Yes
72,2025,Ministry of Rural Development,Ayushman Bharat,Uttar Pradesh,Varanasi,Sigra,Urban Transport Improvement,Water Pipeline,Vendor_1040,217688648,106995651,37747644,17797332,7939268,0.446,Delayed,06-05-2023,01-08-2023,10-09-2023,271,3.06,Yes
73,2025,Ministry of Infrastructure,Ayushman Bharat,Karnataka,Bangalore,Indiranagar,Urban Transport Improvement,Water Pipeline,Vendor_1005,271637509,157271792,50606170,30875812,21393892,0.693,Completed,26-09-2023,17-12-2023,12-02-2024,14,1.18,Yes
74,2023,Ministry of Education,Digital India,Maharashtra,Nagpur,Sitabuldi,Urban Housing Scheme,Bridge Development,Vendor_1082,256123259,168552000,51024237,41035071,45431635,1.107,Delayed,07-09-2024,27-12-2024,06-02-2025,216,1.73,No
75,2025,Ministry of Education,Ayushman Bharat,Gujarat,Surat,Adajan,State Road Development,Road Construction,Vendor_1053,209843502,128267517,89681302,51866283,58591715,1.13,Completed,05-01-2023,29-03-2023,16-04-2023,232,4.51,Yes
76,2023,Ministry of Education,PM Awas Yojana,Uttar Pradesh,Varanasi,Sigra,Urban Housing Scheme,Water Pipeline,Vendor_1072,50317831,24793897,13056777,6443037,1401355,0.217,Ongoing,12-08-2023,27-11-2023,06-03-2024,289,2.71,Yes
77,2025,Ministry of Infrastructure,PM Awas Yojana,Uttar Pradesh,Varanasi,Sigra,Urban Housing Scheme,Water Pipeline,Vendor_1035,110890036,60758166,25956061,11162033,11023038,0.988,Ongoing,14-11-2024,04-04-2025,26-07-2025,62,4.26,Yes
78,2024,Ministry of Education,Ayushman Bharat,Uttar Pradesh,Varanasi,Sigra,Urban Housing Scheme,Bridge Development,Vendor_1021,141976980,60876201,24147866,23275973,23483207,1.009,Completed,23-02-2024,10-05-2024,17-08-2024,116,3.26,No
79,2025,Ministry of Health,Ayushman Bharat,Uttar Pradesh,Kanpur,Kalyanpur,State Road Development,School Building,Vendor_1019,250712724,169973386,68423505,57401277,36668761,0.639,Delayed,01-03-2023,13-08-2023,15-11-2023,110,4.21,Yes
80,2024,Ministry of Rural Development,PM Awas Yojana,Tamil Nadu,Coimbatore,RS Puram,Urban Housing Scheme,Bridge Development,Vendor_1086,78454405,49692943,32338600,38675540,46549369,1.204,Delayed,29-08-2023,11-02-2024,22-02-2024,165,4.95,No
81,2025,Ministry of Infrastructure,Jal Jeevan Mission,Maharashtra,Nashik,Panchavati,Urban Housing Scheme,Bridge Development,Vendor_1080,294909553,149613294,87677069,83160866,61626468,0.741,Ongoing,05-04-2023,02-08-2023,09-10-2023,43,3.5,No
82,2024,Ministry of Education,PM Awas Yojana,Karnataka,Hubli,Keshwapur,Smart City Initiative,Water Pipeline,Vendor_1090,64447777,44222460,31451272,19909340,14492875,0.728,Completed,15-07-2024,14-11-2024,20-12-2024,223,2.07,No
83,2023,Ministry of Education,Ayushman Bharat,Maharashtra,Nagpur,Sitabuldi,Urban Housing Scheme,Bridge Development,Vendor_1044,154233066,87138675,59059341,33073450,31911558,0.965,Ongoing,11-08-2024,28-01-2025,19-03-2025,190,1.33,No
84,2025,Ministry of Health,PM Awas Yojana,Gujarat,Surat,Adajan,Urban Housing Scheme,Road Construction,Vendor_1032,226251453,95518583,66513684,64085920,69826935,1.09,Completed,12-02-2023,06-06-2023,20-06-2023,213,3.84,Yes
85,2023,Ministry of Rural Development,PM Gram Sadak Yojana,Gujarat,Surat,Adajan,Urban Housing Scheme,Bridge Development,Vendor_1019,129353338,42323071,13665079,8813435,2509551,0.285,Delayed,23-05-2023,21-09-2023,28-11-2023,32,3.47,No
86,2023,Ministry of Health,Jal Jeevan Mission,Maharashtra,Nashik,Panchavati,Urban Transport Improvement,School Building,Vendor_1012,104958012,66542921,46213680,42311804,33681899,0.796,Delayed,09-06-2024,07-09-2024,05-10-2024,80,2.52,No
87,2024,Ministry of Infrastructure,PM Awas Yojana,Karnataka,Bangalore,Indiranagar,Urban Housing Scheme,Hospital Upgrade,Vendor_1051,103478381,64375895,26110006,17143911,9135304,0.533,Delayed,01-08-2023,27-01-2024,21-04-2024,247,2.78,Yes
88,2025,Ministry of Rural Development,Ayushman Bharat,Maharashtra,Nagpur,Sitabuldi,Urban Housing Scheme,School Building,Vendor_1022,236277030,133557506,64835283,34607275,23520060,0.68,Completed,15-01-2024,01-07-2024,18-06-2024,181,3.66,Yes
89,2025,Ministry of Infrastructure,Jal Jeevan Mission,Uttar Pradesh,Kanpur,Kalyanpur,Urban Transport Improvement,Bridge Development,Vendor_1082,145493003,67031790,51424451,38271879,33422860,0.873,Ongoing,24-05-2023,25-08-2023,26-08-2023,281,3.06,Yes
90,2025,Ministry of Education,Digital India,Uttar Pradesh,Varanasi,Sigra,Smart City Initiative,School Building,Vendor_1085,205122626,109000799,56270876,40161843,42120594,1.049,Delayed,01-12-2024,27-05-2025,14-09-2025,66,3.53,No
91,2024,Ministry of Education,Ayushman Bharat,Tamil Nadu,Madurai,Anna Nagar,Smart City Initiative,School Building,Vendor_1039,150297883,99417498,57699520,27384577,29605233,1.081,Ongoing,22-03-2024,13-09-2024,06-11-2024,110,4.43,No
92,2025,Ministry of Infrastructure,PM Gram Sadak Yojana,Karnataka,Mysore,VV Mohalla,Urban Transport Improvement,Bridge Development,Vendor_1076,255986725,135247163,46402554,55211698,43065276,0.78,Ongoing,24-06-2024,30-08-2024,24-08-2024,254,1.5,No
93,2025,Ministry of Health,PM Gram Sadak Yojana,Maharashtra,Nagpur,Sitabuldi,Urban Transport Improvement,Water Pipeline,Vendor_1050,110480189,66459030,32849573,32137333,23055482,0.717,Delayed,18-08-2023,25-10-2023,04-12-2023,288,4.3,Yes
94,2023,Ministry of Rural Development,Digital India,Maharashtra,Pune,Shivajinagar,Urban Transport Improvement,School Building,Vendor_1048,370119837,139840942,106866184,124005589,63943963,0.516,Ongoing,30-04-2023,07-08-2023,14-07-2023,3,1.19,No
95,2023,Ministry of Infrastructure,PM Gram Sadak Yojana,Tamil Nadu,Chennai,T Nagar,State Road Development,School Building,Vendor_1001,313834257,180990111,105995552,86098243,38449200,0.447,Ongoing,21-02-2023,05-07-2023,18-07-2023,149,3.51,No
96,2025,Ministry of Health,PM Gram Sadak Yojana,Karnataka,Hubli,Keshwapur,State Road Development,Water Pipeline,Vendor_1041,93098432,60980438,20949905,15310196,13123301,0.857,Delayed,14-02-2024,22-07-2024,28-08-2024,84,1.13,No
97,2025,Ministry of Education,PM Awas Yojana,Karnataka,Mysore,VV Mohalla,State Road Development,Road Construction,Vendor_1009,220831833,80028903,39387409,23757983,5041735,0.212,Ongoing,20-09-2023,29-02-2024,02-03-2024,197,1.29,No
98,2025,Ministry of Health,PM Gram Sadak Yojana,Uttar Pradesh,Varanasi,Sigra,Urban Transport Improvement,Road Construction,Vendor_1076,281580089,170076430,108876178,102868156,102252391,0.994,Ongoing,26-02-2023,31-07-2023,15-11-2023,62,2.48,No
99,2025,Ministry of Health,PM Gram Sadak Yojana,Maharashtra,Nashik,Panchavati,Urban Housing Scheme,Water Pipeline,Vendor_1064,167815802,104975506,68782416,77774615,63623255,0.818,Ongoing,22-11-2024,03-02-2025,30-04-2025,246,1.59,Yes
100,2025,Ministry of Health,Jal Jeevan Mission,Uttar Pradesh,Lucknow,Gomti Nagar,State Road Development,Water Pipeline,Vendor_1084,121381202,71948754,49811343,20324331,5998660,0.295,Delayed,07-05-2023,18-09-2023,11-09-2023,70,4.14,No
101,2023,Ministry of Infrastructure,Digital India,Gujarat,Surat,Adajan,Smart City Initiative,Road Construction,Vendor_1096,337525710,135245982,68114717,80401910,66161122,0.823,Delayed,13-05-2024,29-10-2024,08-01-2025,244,1.78,Yes
102,2025,Ministry of Education,PM Gram Sadak Yojana,Gujarat,Surat,Adajan,Urban Housing Scheme,Bridge Development,Vendor_1012,399000296,124181709,74700313,81438846,54546464,0.67,Delayed,21-07-2024,15-01-2025,27-03-2025,214,4.08,Yes
103,2025,Ministry of Rural Development,Digital India,Tamil Nadu,Madurai,Anna Nagar,State Road Development,Water Pipeline,Vendor_1042,113796984,47337208,33502117,26578297,11924566,0.449,Ongoing,09-06-2023,10-10-2023,10-10-2023,148,2.02,Yes
104,2024,Ministry of Health,PM Gram Sadak Yojana,Gujarat,Ahmedabad,Navrangpura,Smart City Initiative,Hospital Upgrade,Vendor_1099,103068932,64955441,26202013,10850548,13913319,1.282,Ongoing,19-04-2024,02-08-2024,30-11-2024,144,2.76,No
105,2024,Ministry of Infrastructure,PM Awas Yojana,Gujarat,Surat,Adajan,Urban Housing Scheme,Bridge Development,Vendor_1003,337046457,220822115,85635850,67904319,41125208,0.606,Delayed,10-02-2024,04-06-2024,29-08-2024,115,3.64,No
106,2025,Ministry of Rural Development,Ayushman Bharat,Uttar Pradesh,Kanpur,Kalyanpur,Smart City Initiative,Hospital Upgrade,Vendor_1007,214581063,89937657,34493679,29190186,10719515,0.367,Ongoing,03-09-2023,28-01-2024,06-02-2024,258,1.77,No
