record_id,year,central_ministry,central_scheme,state,district,city,state_scheme,project_type,vendor_name,central_allocated_funds,state_received_funds,district_received_funds,project_budget,spent_amount,fund_utilization_rate,project_status,project_start_date,expected_completion,actual_completion,citizen_complaints,citizen_rating,completion_verified,planned_duration_days,delay_days_raw,delay_days,is_delayed,central_state_gap,state_district_gap,central_state_gap_pct,state_district_gap_pct,fund_leakage,fund_leakage_pct,state_absorption_rate,district_absorption_rate,overspend,underutilized,budget_efficiency,citizen_risk,false_completion,vendor_concentration,risk_score,risk_norm,risk_label,lapse_risk,ae_recon_error,ae_anomaly,iso_anomaly,iso_score,lapse_probability,xgb_anomaly_prob,final_risk_score,final_risk_label
11,2024,Ministry of Rural Development,PM Gram Sadak Yojana,Gujarat,Vadodara,Alkapuri,Smart City Initiative,Road Construction,Vendor_1047,309560948,102696075,67373686,68263286,87055628,1.275,Delayed,2024-09-28,2025-01-24,2025-01-19,243,1.58,Yes,118,-5,0,0,206864873,35322389,0.6682524857754344,0.34395072060933196,242187262,0.7823572823533284,0.33174751422456555,0.656049279390668,1,0,1.27529208013807,1,0,0.008571428571428572,0.6012857142857143,0.6456027938845622,High,0,0.06327613194300948,0,0,0.5326267199602639,0.0,0.0022189452,0.34452426837771427,Medium
12,2024,Ministry of Rural Development,PM Gram Sadak Yojana,Tamil Nadu,Chennai,T Nagar,Smart City Initiative,Hospital Upgrade,Vendor_1058,381390513,240816213,191951488,221660492,186615705,0.842,Completed,2024-08-15,2024-12-08,2025-01-30,249,3.24,Yes,115,53,53,1,140574300,48864725,0.3685836307102898,0.2029129367631074,189439025,0.4967061805231637,0.6314163692897101,0.7970870632368926,0,0,0.8418988125317344,0,0,0.012084592145015106,0.10181268882175226,0.05945027411776671,Low,0,0.09185774364168792,0,1,0.6074518948404506,0.01717387013857997,0.984554,0.3144976959579481,Medium
13,2025,Ministry of Rural Development,Ayushman Bharat,Maharashtra,Mumbai,Andheri,Urban Housing Scheme,Hospital Upgrade,Vendor_1035,358974914,188479857,119716253,72727609,54001527,0.743,Completed,2023-02-09,2023-07-09,2023-09-22,3,1.39,Yes,150,75,75,1,170495057,68763604,0.4749497815883591,0.36483264097552875,239258661,0.6665052394162563,0.5250502184116409,0.6351673590244713,0,0,0.742517563034418,0,0,0.013392857142857142,0.35200892857142857,0.35306604291573823,Medium,0,0.1777773634589441,1,0,0.4750130935950297,0.0,0.0001119231,0.23693728015504179,Low
14,2023,Ministry of Infrastructure,PM Awas Yojana,Gujarat,Ahmedabad,Navrangpura,Urban Transport Improvement,School Building,Vendor_1033,278622371,160866591,119282810,110280904,51370560,0.466,Ongoing,2024-04-16,2024-08-22,2024-07-29,249,3.87,No,128,-24,0,0,117755780,41583781,0.42263576889882976,0.25849855300284197,159339561,0.5718835871940807,0.5773642311011703,0.741501446997158,0,0,0.4658155504419877,0,0,0.008746355685131196,0.13131195335276968,0.09406889685532373,Low,1,0.03915878143701533,0,0,0.4909929268429453,0.9928633961616308,7.01586e-05,0.25570778536886585,Low
15,2023,Ministry of Health,Jal Jeevan Mission,Tamil Nadu,Coimbatore,RS Puram,State Road Development,School Building,Vendor_1008,105844122,36183958,22283296,13918610,10187791,0.732,Ongoing,2023-08-05,2023-11-23,2023-12-28,97,4.37,Yes,110,35,35,1,69660164,13900662,0.6581391832037683,0.38416643088077873,83560826,0.7894706330503644,0.3418608167962317,0.6158335691192213,0,0,0.7319546276531924,0,0,0.0029498525073746312,0.2004424778761062,0.17519646346317774,Low,0,0.051501527154386044,0,0,0.4688916631016177,0.0,0.00012609176,0.12118052214940517,Low
16,2023,Ministry of Rural Development,PM Gram Sadak Yojana,Gujarat,Surat,Adajan,Urban Transport Improvement,Bridge Development,Vendor_1072,320188476,211710873,66317801,64071473,15761917,0.246,Delayed,2023-03-28,2023-07-09,2023-07-09,230,2.16,Yes,103,0,0,0,108477603,145393072,0.3387929645537899,0.6867529756017774,253870675,0.7928788636353046,0.6612070354462102,0.31324702439822255,0,1,0.2460052229484407,1,0,0.005813953488372093,0.5008720930232557,0.5277632027129956,Medium,1,0.025625735547544024,0,0,0.5532011367755789,0.9986462500000001,0.0042356662,0.4562998855697412,Medium
17,2025,Ministry of Health,PM Gram Sadak Yojana,Karnataka,Bangalore,Whitefield,Urban Transport Improvement,Hospital Upgrade,Vendor_1078,199367775,104839801,64212640,34479571,19400729,0.563,Ongoing,2024-05-20,2024-10-01,2024-09-23,255,4.03,No,134,-8,0,0,94527974,40627161,0.4741386816399992,0.3875165787466537,135155135,0.6779186606260716,0.5258613183600007,0.6124834212533463,0,0,0.5626731550691277,0,0,0.012269938650306749,0.151840490797546,0.11815999554720062,Low,0,0.009500874753628135,0,0,0.4413386185598778,0.002223384794478781,2.2930022e-05,0.06213086047916606,Low
18,2024,Ministry of Infrastructure,Jal Jeevan Mission,Karnataka,Bangalore,Whitefield,Smart City Initiative,School Building,Vendor_1017,90379059,61630037,20528928,15908786,6753069,0.424,Completed,2023-02-09,2023-05-15,2023-06-20,9,4.29,No,95,36,36,1,28749022,41101109,0.31809384074246666,0.6669006056251434,69850131,0.7728574713308312,0.6819061592575333,0.33309939437485653,0,0,0.42448675844907335,0,1,0.02147239263803681,0.30322085889570555,0.29581119927644667,Medium,1,0.10570987485341998,0,0,0.5369746416896805,0.9918678274253,0.0047941157,0.3910548161565659,Medium
19,2023,Ministry of Education,Digital India,Tamil Nadu,Madurai,Anna Nagar,Urban Housing Scheme,Bridge Development,Vendor_1098,260525227,114193291,84135675,83297196,18489410,0.222,Delayed,2023-02-04,2023-06-05,2023-05-26,287,4.16,No,121,-10,0,0,146331936,30057616,0.5616804855523646,0.26321700457866654,176389552,0.6770536351936467,0.43831951444763545,0.7367829954213335,0,1,0.2219691764894463,0,0,0.02005730659025788,0.33300859598853866,0.33076835665025317,Medium,1,0.0647903490031855,0,0,0.5265221702623943,1.0,0.0024129143,0.3797601605677706,Medium
20,2025,Ministry of Rural Development,Jal Jeevan Mission,Tamil Nadu,Coimbatore,RS Puram,Urban Housing Scheme,School Building,Vendor_1036,102433274,44799567,16169778,16416047,11702694,0.713,Completed,2024-05-11,2024-10-23,2025-02-03,173,1.79,Yes,165,103,103,1,57633707,28629789,0.5626463428280151,0.6390639668459296,86263496,0.8421433058949185,0.43735365717198493,0.3609360331540704,0,0,0.7128813654103208,1,0,0.014749262536873156,0.502212389380531,0.5293360966371897,Medium,0,0.013767056969047588,0,0,0.5034873425541841,0.001358176061584304,0.00013965924,0.2601998784763547,Low
21,2023,Ministry of Health,Jal Jeevan Mission,Maharashtra,Pune,Hinjewadi,Smart City Initiative,School Building,Vendor_1059,67663145,22211413,11566610,7879585,1955683,0.248,Ongoing,2024-07-27,2024-12-25,2025-01-31,209,4.85,No,151,37,37,1,45451732,10644803,0.6717354329302901,0.4792492490234638,56096535,0.829055980179461,0.3282645670697098,0.5207507509765362,0,1,0.24819619307361998,0,0,0.011904761904761904,0.4017857142857143,0.41148118624648766,Medium,1,0.030853422098798156,0,0,0.5286155601934219,0.98364625,0.0058900663,0.39469175447049853,Medium
22,2025,Ministry of Education,PM Gram Sadak Yojana,Tamil Nadu,Chennai,T Nagar,Smart City Initiative,Water Pipeline,Vendor_1001,238045101,140242721,104152925,55779622,34954710,0.627,Completed,2023-10-01,2024-01-16,2024-01-13,207,4.39,Yes,107,-3,0,0,97802380,36089796,0.410856512438792,0.2573381045565994,133892176,0.5624655808396578,0.589143487561208,0.7426618954434006,0,0,0.6266573480903116,0,0,0.01812688821752266,0.1327190332326284,0.09572016404102654,Low,0,0.0530704012372411,0,0,0.46383030310210316,0.0,6.2864434e-05,0.08967059069620004,Low
23,2025,Ministry of Health,PM Gram Sadak Yojana,Tamil Nadu,Madurai,Anna Nagar,Urban Housing Scheme,School Building,Vendor_1042,275759149,115275969,55762665,31913583,16282598,0.51,Delayed,2023-05-29,2023-11-07,2024-02-10,83,1.35,No,162,95,95,1,160483180,59513304,0.5819686512014874,0.516268087063315,219996484,0.7977848959781929,0.41803134879851256,0.483731912936685,0,0,0.5102090229104015,0,0,0.02005730659025788,0.3530085959885387,0.3542391945087068,Medium,0,0.1359931986098664,0,0,0.45709933579344053,0.005,3.9082468e-05,0.20692830301280135,Low
24,2023,Ministry of Infrastructure,Digital India,Maharashtra,Nagpur,Sitabuldi,State Road Development,Hospital Upgrade,Vendor_1051,99439347,46061296,17554964,17729947,5675367,0.32,Delayed,2024-01-26,2024-06-19,2024-06-08,5,4.79,Yes,145,-11,0,0,53378051,28506332,0.5367900394599333,0.6188782009086327,81884383,0.8234605864819285,0.4632099605400667,0.3811217990913673,0,1,0.32010061846208565,0,0,0.017467248908296942,0.15262008733624452,0.11907488474494085,Low,1,0.179983424032544,1,0,0.5363508436331261,1.0,0.00030112208,0.357859557617505,Medium
25,2024,Ministry of Health,PM Awas Yojana,Karnataka,Bangalore,Indiranagar,Smart City Initiative,Bridge Development,Vendor_1013,334690510,216184857,147586082,149441673,166067256,1.111,Ongoing,2024-08-16,2024-10-24,2024-12-26,141,1.58,No,69,63,63,1,118505653,68598775,0.35407533066892155,0.31731535664405947,187104428,0.5590371474829089,0.6459246693310784,0.6826846433559405,1,0,1.1112513174287069,1,0,0.009202453987730062,0.8013803680981596,0.8804222526833274,High,0,0.02915996243060563,0,1,0.5994607950527674,0.0,0.968585,0.5669051336054718,Medium
26,2025,Ministry of Rural Development,Jal Jeevan Mission,Uttar Pradesh,Varanasi,Sigra,State Road Development,Road Construction,Vendor_1022,284582742,115887909,37718543,34706127,40154220,1.157,Ongoing,2024-09-02,2025-01-09,2024-12-16,153,1.39,No,129,-24,0,0,168694833,78169366,0.5927795614535192,0.6745256401166061,246864199,0.8674601884326493,0.4072204385464808,0.32547435988339385,1,0,1.1569778442866874,1,0,0.014450867052023121,0.6021676300578035,0.6466377589891381,High,0,0.01298385051552041,0,0,0.5060985807461886,0.0,0.00040159855,0.30299008745841693,Medium
27,2023,Ministry of Infrastructure,Ayushman Bharat,Gujarat,Vadodara,Alkapuri,Smart City Initiative,Bridge Development,Vendor_1098,202513758,62172720,27800145,24574481,18549069,0.755,Delayed,2023-06-12,2023-08-22,2023-08-20,49,2.6,No,71,-2,0,0,140341038,34372575,0.6929950803638734,0.5528562205417424,174713613,0.8627246599216237,0.30700491963612664,0.44714377945825756,0,0,0.7548102033161962,0,0,0.022857142857142857,0.15342857142857144,0.12002367469704806,Low,0,0.06340760086111986,0,0,0.4722675433583838,0.0,0.00012781998,0.10928554279738256,Low
28,2024,Ministry of Infrastructure,Jal Jeevan Mission,Uttar Pradesh,Lucknow,Gomti Nagar,Urban Housing Scheme,Water Pipeline,Vendor_1026,390126654,143857397,77926360,50622306,40536072,0.801,Ongoing,2023-08-27,2023-10-31,2023-11-21,245,3.87,Yes,65,21,21,1,246269257,65931037,0.6312546309640253,0.4583082856698707,312200294,0.8002536888956067,0.36874536903597466,0.5416917143301293,0,0,0.8007551453701062,0,0,0.003215434083601286,0.20048231511254022,0.17524321412903132,Low,0,0.0440725548679191,0,0,0.4693121063227255,0.0,8.721385e-05,0.11870648324944058,Low
29,2025,Ministry of Infrastructure,Ayushman Bharat,Gujarat,Surat,Adajan,Smart City Initiative,Road Construction,Vendor_1032,353475369,203564912,120067570,79549919,100227910,1.26,Completed,2023-11-22,2024-04-28,2024-03-29,32,3.21,Yes,158,-30,0,0,149910457,83497342,0.4241043935369652,0.41017551197624863,233407799,0.6603226687628128,0.5758956064630347,0.5898244880237513,1,0,1.259937297987695,0,0,0.01744186046511628,0.4526162790697675,0.4711329834614943,Medium,0,0.08424690423539402,0,0,0.5165424333698266,0.0,0.00041368385,0.2776794531984765,Low
30,2023,Ministry of Education,PM Gram Sadak Yojana,Uttar Pradesh,Kanpur,Kalyanpur,Smart City Initiative,Water Pipeline,Vendor_1034,62771114,35291104,22682239,20844176,5910625,0.284,Ongoing,2024-11-01,2025-03-17,2025-04-09,214,2.05,Yes,136,23,23,1,27480010,12608865,0.43778114245351774,0.35728168209189487,40088875,0.6386516415815083,0.5622188575464823,0.6427183179081051,0,1,0.28356242050537284,1,0,0.012618296529968454,0.5518927444794953,0.5876380746010993,Medium,1,0.0107035896395967,0,0,0.5152187409184971,0.9994493593654667,0.0013552506,0.43920566898976987,Medium
31,2025,Ministry of Education,PM Gram Sadak Yojana,Gujarat,Surat,Adajan,Urban Transport Improvement,Bridge Development,Vendor_1071,321271648,208776117,71869637,52056960,45960313,0.883,Completed,2024-02-16,2024-05-19,2024-06-26,13,2.58,No,93,38,38,1,112495531,136906480,0.3501570452927113,0.6557573824404446,249402011,0.7762963602689273,0.6498429547072887,0.34424261755955543,0,0,0.8828850743493282,0,1,0.014534883720930232,0.3021802325581395,0.29458998067443426,Medium,0,0.04262514558163119,0,0,0.5076012465314049,0.0,0.00039007678,0.19238710334183728,Low
32,2024,Ministry of Education,Jal Jeevan Mission,Maharashtra,Pune,Hinjewadi,Smart City Initiative,Hospital Upgrade,Vendor_1096,81161576,32764664,24176947,23337777,15550895,0.666,Delayed,2023-09-27,2024-03-13,2024-02-14,217,3.62,Yes,168,-28,0,0,48396912,8587717,0.5963032556193832,0.2621030082896623,56984629,0.7021133867582857,0.40369674438061676,0.7378969917103377,0,0,0.6663400288725014,0,0,0.003968253968253968,0.1305952380952381,0.09322780147531355,Low,0,0.09389773543964466,0,0,0.47544744744347,0.005,0.00014447916,0.11501905106269958,Low
33,2024,Ministry of Infrastructure,Ayushman Bharat,Uttar Pradesh,Lucknow,Gomti Nagar,State Road Development,Water Pipeline,Vendor_1065,104770272,64061569,19607342,9764053,5720316,0.586,Ongoing,2024-05-01,2024-10-18,2024-10-08,111,4.64,Yes,170,-10,0,0,40708703,44454227,0.3885520407926401,0.693929725636286,85162930,0.8128539553662704,0.6114479592073598,0.3060702743637141,0,0,0.5858546650658287,0,0,0.012861736334405145,0.15192926045016078,0.11826417045336426,Low,0,0.12030265618552133,0,0,0.4886010187130483,0.0,0.00019946326,0.144282687420491,Low
34,2023,Ministry of Infrastructure,PM Gram Sadak Yojana,Maharashtra,Pune,Shivajinagar,Urban Transport Improvement,Hospital Upgrade,Vendor_1057,264331969,122505266,74278060,72887455,17106514,0.235,Completed,2023-01-18,2023-06-15,2023-07-31,229,3.81,No,148,46,46,1,141826703,48227206,0.5365476735052052,0.39367455436568743,190053909,0.7189970616077845,0.4634523264947949,0.6063254456343126,0,1,0.23469764447119193,0,1,0.011904761904761904,0.5017857142857144,0.5288353755387557,Medium,1,0.04301332845178094,0,0,0.5111942334187632,1.0,0.0018305681,0.4277090151848486,Medium
35,2024,Ministry of Infrastructure,Jal Jeevan Mission,Maharashtra,Mumbai,Borivali,Urban Housing Scheme,Bridge Development,Vendor_1019,95264812,54170103,19649163,14415997,7090497,0.492,Ongoing,2024-11-21,2025-05-09,2025-04-14,263,1.28,No,169,-25,0,0,41094709,34520940,0.431373433036324,0.6372692331783087,75615649,0.7937416493300801,0.568626566963676,0.3627307668216913,0,0,0.4918492283260048,1,0,0.03571428571428571,0.3053571428571429,0.2983182180003722,Medium,1,0.030169634224019252,0,0,0.5334379756654432,0.9622233847944787,0.0030285218,0.35540831011719964,Medium
36,2025,Ministry of Education,Jal Jeevan Mission,Karnataka,Bangalore,Whitefield,Smart City Initiative,School Building,Vendor_1005,97816535,33952390,25729181,26056210,33181444,1.273,Delayed,2024-01-03,2024-06-09,2024-06-29,16,1.35,No,158,20,20,1,63864145,8223209,0.652897232558892,0.24219823700187232,72087354,0.7369649108915992,0.34710276744110796,0.7578017629981276,1,0,1.2734562701175651,0,0,0.018404907975460124,0.48276073619631904,0.5065087667389142,Medium,0,0.05872069279553525,0,0,0.5338220814499052,0.0,0.0013014408,0.29501902858240264,Low
37,2025,Ministry of Rural Development,Jal Jeevan Mission,Maharashtra,Nashik,Panchavati,Urban Transport Improvement,Hospital Upgrade,Vendor_1086,103981516,54610685,39070995,38075275,46758153,1.228,Completed,2024-10-02,2025-03-05,2025-03-07,78,1.65,Yes,154,2,2,1,49370831,15539690,0.4748039161113981,0.28455402088437454,64910521,0.6242505735346271,0.5251960838886018,0.7154459791156255,1,0,1.2280450502327298,0,0,0.019230769230769232,0.4828846153846154,0.5066541441560413,Medium,0,0.037685972554045724,0,0,0.4975113976514433,0.0,0.00015865649,0.2561498703509991,Low
38,2024,Ministry of Health,PM Awas Yojana,Tamil Nadu,Chennai,T Nagar,Smart City Initiative,Bridge Development,Vendor_1021,124944220,59208477,17978776,15006358,10750527,0.716,Completed,2024-05-07,2024-09-16,2024-10-08,67,3.0,Yes,132,22,22,1,65735743,41229701,0.526120720110142,0.6963479401775526,106965444,0.8561055805542666,0.47387927988985806,0.30365205982244736,0,0,0.7163981427072444,0,0,0.012084592145015106,0.2018126888217523,0.17680446341003464,Low,0,0.03044397402464874,0,0,0.45573124939638165,0.0,0.0001222149,0.10253786681643352,Low
39,2025,Ministry of Education,PM Awas Yojana,Uttar Pradesh,Varanasi,Sigra,Urban Housing Scheme,Hospital Upgrade,Vendor_1034,169119129,61906685,26473755,18597716,4253179,0.229,Delayed,2024-02-06,2024-04-11,2024-07-27,114,3.19,No,65,107,107,1,107212444,35432930,0.6339462876491044,0.5723603194065391,142645374,0.8434609073702124,0.36605371235089557,0.42763968059346097,0,1,0.22869362022734405,0,0,0.014450867052023121,0.5521676300578034,0.5879606643430041,Medium,1,0.11286156945641385,0,0,0.5121605393449606,1.0,0.0009060101,0.47585591598074095,Medium
40,2023,Ministry of Education,PM Gram Sadak Yojana,Uttar Pradesh,Lucknow,Gomti Nagar,Urban Transport Improvement,Water Pipeline,Vendor_1094,340242603,205061767,92180939,93473406,57393821,0.614,Completed,2023-10-30,2024-04-20,2024-07-22,17,4.09,Yes,173,93,93,1,135180836,112880828,0.3973072002391188,0.5504723267112002,248061664,0.7290729080155786,0.6026927997608812,0.44952767328879983,0,0,0.6140122999262485,0,0,0.012861736334405145,0.35192926045016076,0.35297254903790004,Medium,0,0.11742020299456661,0,0,0.48752358222090714,0.0,7.711036e-05,0.22440278945432046,Low
41,2024,Ministry of Infrastructure,Digital India,Uttar Pradesh,Lucknow,Gomti Nagar,Urban Housing Scheme,Hospital Upgrade,Vendor_1013,358080555,179121989,75465856,81169767,71132223,0.876,Ongoing,2023-11-03,2024-01-14,2024-05-13,172,1.96,No,72,120,120,1,178958566,103656133,0.49977180693321926,0.5786901629369469,282614699,0.7892489414846892,0.5002281930667808,0.42130983706305314,0,0,0.8763388836634212,1,0,0.006430868167202572,0.5009646302250804,0.5278717989959907,Medium,0,0.0096393607300489,0,0,0.5063190199954033,0.0,0.00017207042,0.2603060233864763,Low
42,2023,Ministry of Infrastructure,Digital India,Tamil Nadu,Coimbatore,RS Puram,Urban Transport Improvement,Road Construction,Vendor_1094,219157268,94074792,61596306,59867057,76003695,1.27,Delayed,2023-09-09,2023-12-05,2024-01-08,141,2.11,Yes,87,34,34,1,125082476,32478486,0.5707429972160448,0.3452411141126945,157560962,0.7189401630978536,0.4292570027839551,0.6547588858873055,1,0,1.2695411935816387,1,0,0.008849557522123894,0.6513274336283187,0.7043288479269876,High,0,0.06625603661045253,0,0,0.5037557981942697,0.0,0.00038646036,0.3415802729982685,Medium
43,2023,Ministry of Health,Jal Jeevan Mission,Tamil Nadu,Coimbatore,RS Puram,Smart City Initiative,Water Pipeline,Vendor_1005,165743439,68492773,37539005,36937249,12620099,0.342,Ongoing,2024-07-26,2025-01-19,2025-05-10,297,3.26,Yes,177,111,111,1,97250666,30953768,0.5867542425012673,0.4519275048186471,128204434,0.7735113665645613,0.4132457574987327,0.5480724951813529,0,1,0.3416632083239334,0,0,0.017699115044247787,0.35265486725663714,0.3538240790230899,Medium,1,0.07042149238056072,0,0,0.49774973342479967,1.0,0.0012321315,0.36549462098479524,Medium
44,2024,Ministry of Education,Ayushman Bharat,Tamil Nadu,Madurai,Anna Nagar,Smart City Initiative,Bridge Development,Vendor_1043,59661785,30808567,21458777,19369815,9490338,0.49,Delayed,2023-12-17,2024-06-09,2024-09-29,168,3.46,Yes,175,112,112,1,28853218,9349790,0.4836130531461638,0.30348019756972144,38203008,0.6403262657997912,0.5163869468538361,0.6965198024302786,0,0,0.4899550150582233,0,0,0.014326647564469915,0.35214899713467046,0.3532304192425841,Medium,1,0.011793695860705554,0,0,0.484002569970176,0.9848663858252737,0.00034713326,0.32885020358287353,Medium
45,2024,Ministry of Health,Digital India,Uttar Pradesh,Kanpur,Kalyanpur,Urban Housing Scheme,School Building,Vendor_1081,85215301,55597490,32708280,33502633,34356019,1.025,Completed,2023-12-07,2024-03-15,2024-03-03,49,2.61,Yes,99,-12,0,0,29617811,22889210,0.34756447084544123,0.4116950243617113,52507021,0.6161689319151733,0.6524355291545587,0.5883049756382887,1,0,1.0254722069157967,0,0,0.012618296529968454,0.2518927444794953,0.23557550672429545,Low,0,0.02673893835267151,0,0,0.4877403521127374,0.0,4.362353e-05,0.14879546724911133,Low
