record_id,year,central_ministry,central_scheme,state,district,city,state_scheme,project_type,vendor_name,central_allocated_funds,state_received_funds,district_received_funds,project_budget,spent_amount,fund_utilization_rate,project_status,project_start_date,expected_completion,actual_completion,citizen_complaints,citizen_rating,completion_verified,planned_duration_days,delay_days_raw,delay_days,is_delayed,central_state_gap,state_district_gap,central_state_gap_pct,state_district_gap_pct,fund_leakage,fund_leakage_pct,state_absorption_rate,district_absorption_rate,overspend,underutilized,budget_efficiency,citizen_risk,false_completion,vendor_concentration,risk_score,risk_norm,risk_label,lapse_risk,ae_recon_error,ae_anomaly,iso_anomaly,iso_score,lapse_probability,xgb_anomaly_prob,final_risk_score,final_risk_label
1958,2024,Ministry of Health,PM Awas Yojana,Maharashtra,Mumbai,Andheri,State Road Development,Hospital Upgrade,Vendor_1090,395999202,220061891,150355563,149967551,32313516,0.215,Delayed,2024-03-22,2024-06-13,2024-08-29,180,2.9,No,83,77,77,1,175937311,69706328,0.444287034194579,0.3167578342767217,245643639,0.620313469722598,0.555712965805421,0.6832421657232782,0,1,0.21547005191809793,0,0,0.022321428571428572,0.5533482142857143,0.5893461293925814,Medium,1,0.2191323792582939,1,1,0.5647631354270541,1.0,0.9216377,0.6536348828240324,High
4499,2025,Ministry of Health,PM Awas Yojana,Karnataka,Bangalore,Whitefield,Smart City Initiative,Hospital Upgrade,Vendor_1005,54565068,29548973,11141935,9573607,2136108,0.223,Delayed,2024-08-13,2024-10-14,2025-01-29,263,2.48,No,62,107,107,1,25016095,18407038,0.4584635540085829,0.6229332572742884,43423133,0.7958046162427581,0.541536445991417,0.37706674272571167,0,1,0.22312468017540307,1,0,0.018404907975460124,0.7027607361963191,0.7646879831819037,High,1,0.06608952541331023,0,1,0.5699849444204657,0.9936462500000001,0.8563707,0.6533870011386256,High
2281,2025,Ministry of Health,Digital India,Maharashtra,Pune,Hinjewadi,State Road Development,Hospital Upgrade,Vendor_1064,370237405,163402715,127917066,152763222,62620086,0.41,Completed,2024-06-06,2024-10-18,2024-11-21,300,2.18,No,134,34,34,1,206834690,35485649,0.5586542234974881,0.21716682614484098,242320339,0.654499885012969,0.44134577650251194,0.782833173855159,0,0,0.40991598095515425,1,1,0.03571428571428571,0.43535714285714283,0.4508786640803204,Medium,1,0.2385697753139761,1,1,0.6084624310179607,0.9918713653839446,0.94443154,0.6506844383750169,High
1466,2023,Ministry of Education,Ayushman Bharat,Gujarat,Vadodara,Alkapuri,State Road Development,Bridge Development,Vendor_1079,391612564,166682297,120021560,142534915,33789723,0.237,Completed,2023-03-01,2023-04-30,2023-04-12,149,2.06,No,60,-18,0,0,224930267,46660737,0.5743693836135452,0.27993816883864997,271591004,0.6935196389664352,0.42563061638645483,0.72006183116135,0,1,0.23706277861813718,1,1,0.017142857142857144,0.5825714285714285,0.6236407956027235,Medium,1,0.0653422426503741,0,1,0.6111154302139254,1.0,0.94922256,0.6488123629233409,High
4135,2023,Ministry of Education,PM Gram Sadak Yojana,Maharashtra,Nagpur,Sitabuldi,Smart City Initiative,Road Construction,Vendor_1042,289441720,148125203,117094141,105438377,129057482,1.224,Completed,2023-05-02,2023-07-28,2023-11-23,287,3.44,No,87,118,118,1,141316517,31031062,0.48823824360911067,0.2094921145863341,172347579,0.5954482961198545,0.5117617563908893,0.7905078854136659,1,0,1.224008616900467,0,1,0.03056768558951965,0.734585152838428,0.8020352693292441,High,0,0.2922996519661694,1,1,0.6079243132318634,0.005,0.95269465,0.646488443616825,High
2209,2023,Ministry of Education,Jal Jeevan Mission,Tamil Nadu,Madurai,Anna Nagar,State Road Development,School Building,Vendor_1049,287252738,130810696,101998130,76441525,21115598,0.276,Ongoing,2023-05-16,2023-11-10,2024-02-26,286,1.42,Yes,178,108,108,1,156442042,28812566,0.544614624352162,0.220261544973356,185254608,0.6449185107506269,0.45538537564783804,0.779738455026644,0,1,0.2762320348789483,1,0,0.011461318051575931,0.6817191977077365,0.739994856274007,High,1,0.04003369830292284,0,1,0.5673096769563721,0.9928693684831792,0.9068804,0.6374426612154012,High
3549,2024,Ministry of Infrastructure,PM Gram Sadak Yojana,Gujarat,Ahmedabad,Navrangpura,State Road Development,Road Construction,Vendor_1082,326756903,211312102,140518322,161673850,42423801,0.262,Completed,2023-01-11,2023-05-29,2023-06-22,18,2.65,No,138,24,24,1,115444801,70793780,0.3533048573422181,0.33501999805008803,186238581,0.5699606627744296,0.6466951426577819,0.664980001949912,0,1,0.2624036045408704,0,1,0.008746355685131196,0.5013119533527698,0.528279397236715,Medium,1,0.1578052391923977,0,1,0.5889289562229303,0.9982114939997798,0.97574514,0.634407199681738,High
3312,2025,Ministry of Education,Jal Jeevan Mission,Tamil Nadu,Chennai,T Nagar,State Road Development,Hospital Upgrade,Vendor_1061,395749165,256180833,165211256,179162044,39535677,0.221,Ongoing,2024-04-09,2024-07-31,2024-10-04,2,1.65,Yes,113,65,65,1,139568332,90969577,0.3526686708233484,0.3550990756595752,230537909,0.5825354274594616,0.6473313291766516,0.6449009243404248,0,1,0.22066993721058462,0,0,0.006042296072507553,0.5509063444108762,0.5864804927973928,Medium,1,0.08761950359032038,0,1,0.5969094193069316,0.9828693684831792,0.99182796,0.6339882596014692,High
1476,2024,Ministry of Health,PM Awas Yojana,Tamil Nadu,Madurai,Anna Nagar,Urban Transport Improvement,Hospital Upgrade,Vendor_1042,349047306,232996242,147760512,170375848,216681292,1.272,Completed,2024-06-21,2024-08-23,2024-09-24,289,1.17,No,63,32,32,1,116051064,85235730,0.33247947199454964,0.36582448398459577,201286794,0.5766748247012684,0.6675205280054504,0.6341755160154042,1,0,1.2717840852654185,1,1,0.02005730659025788,0.7530085959885388,0.8236559516777785,High,0,0.12087841007540452,0,1,0.6568808502884933,0.0,0.99652314,0.6335638797743499,High
1647,2025,Ministry of Health,Jal Jeevan Mission,Maharashtra,Nagpur,Dharampeth,Urban Housing Scheme,Water Pipeline,Vendor_1062,69885739,21673113,6518739,4298558,2067704,0.481,Completed,2023-10-17,2024-02-20,2024-05-31,43,4.74,No,126,101,101,1,48212626,15154374,0.6898778876760536,0.6992246106962114,63367000,0.9067229009340518,0.3101221123239464,0.3007753893037885,0,0,0.48102270575388306,0,1,0.004366812227074236,0.45065502183406114,0.4688313659325952,Medium,1,0.2772892705570591,1,1,0.5763311448925842,0.9769678847833899,0.8495875,0.6328469350886419,High
1809,2024,Ministry of Infrastructure,Jal Jeevan Mission,Gujarat,Ahmedabad,Navrangpura,Urban Transport Improvement,Hospital Upgrade,Vendor_1044,323321789,213620010,166223473,194301629,235976325,1.214,Completed,2024-03-21,2024-07-06,2024-09-07,160,1.03,No,107,63,63,1,109701779,47396537,0.33929596684249447,0.22187311478919974,157098316,0.48588842863293696,0.6607040331575055,0.7781268852108002,1,0,1.2144845424842012,1,1,0.014577259475218658,0.8021865889212828,0.881368386594209,High,0,0.07186807998621407,0,1,0.6520125878810028,0.0,0.99842393,0.6310761517222884,High
4703,2025,Ministry of Infrastructure,Digital India,Karnataka,Mysore,VV Mohalla,Urban Transport Improvement,Bridge Development,Vendor_1079,56421452,27247414,17761764,12126080,2722436,0.225,Completed,2024-10-20,2025-04-18,2025-04-01,244,1.21,No,180,-17,0,0,29174038,9485650,0.5170735060132802,0.3481302849510783,38659688,0.6851948439753022,0.48292649398671983,0.6518697150489217,0,1,0.2245108064601256,1,1,0.009146341463414634,0.6013719512195121,0.6457039965390912,High,1,0.06499890705745101,0,1,0.5833814683451084,1.0,0.87727654,0.6257164607848631,High
1505,2023,Ministry of Health,Ayushman Bharat,Gujarat,Vadodara,Alkapuri,Smart City Initiative,Road Construction,Vendor_1007,393668525,162167534,85040670,82054504,16749307,0.204,Completed,2023-01-22,2023-06-11,2023-09-23,126,2.08,No,140,104,104,1,231500991,77126864,0.5880607066566981,0.4755999064522989,308627855,0.7839789960347986,0.411939293343302,0.5244000935477011,0,1,0.20412416361690516,1,1,0.011428571428571429,0.8017142857142857,0.8808141189946362,High,1,0.0962707544534335,0,1,0.5678041953720239,1.0,0.034320194,0.6224806174574982,High
4730,2023,Ministry of Health,Jal Jeevan Mission,Tamil Nadu,Madurai,Anna Nagar,Urban Housing Scheme,School Building,Vendor_1030,336786360,210280923,167742816,73001756,17666809,0.242,Completed,2023-05-11,2023-07-23,2023-07-23,8,3.17,No,73,0,0,0,126505437,42538107,0.3756251797133352,0.20229180276139458,169043544,0.5019310877079464,0.6243748202866648,0.7977081972386054,0,1,0.24200526080495927,0,1,0.0057306590257879654,0.4308595988538682,0.4456006077772145,Medium,1,0.155585409437419,0,1,0.6146470227879407,0.995,0.91225845,0.6195743082140106,High
189,2024,Ministry of Health,Jal Jeevan Mission,Maharashtra,Nagpur,Dharampeth,Smart City Initiative,School Building,Vendor_1027,305688919,172103118,54280861,22057992,6510511,0.295,Completed,2023-10-03,2024-03-10,2024-06-22,24,1.13,No,159,104,104,1,133585801,117822257,0.43699916057474103,0.6846026868612572,251408058,0.8224310479504165,0.563000839425259,0.3153973131387428,0,1,0.29515429146950456,0,1,0.004366812227074236,0.6506550218340612,0.7035397445171311,High,1,0.2657219723068069,1,0,0.5585103193675931,1.0,0.013505002,0.6153201493078989,High
1598,2025,Ministry of Education,Ayushman Bharat,Karnataka,Hubli,Keshwapur,Smart City Initiative,Water Pipeline,Vendor_1053,387934272,269111962,127783072,85085014,21666939,0.255,Ongoing,2023-02-10,2023-07-13,2023-10-26,1,4.44,Yes,153,105,105,1,118822310,141328890,0.3062949540070541,0.5251676252131817,260151200,0.6706063856095705,0.6937050459929459,0.4748323747868183,0,1,0.25465047229116045,0,0,0.019943019943019943,0.552991452991453,0.5889274550679924,Medium,1,0.11427801490767246,0,1,0.5703487311385047,0.9830981554978752,0.8935441,0.6127531147993462,High
4961,2023,Ministry of Health,Ayushman Bharat,Uttar Pradesh,Kanpur,Kalyanpur,Urban Transport Improvement,Road Construction,Vendor_1099,374924443,231022912,173644631,110700572,24493548,0.221,Ongoing,2023-08-13,2023-10-24,2023-11-24,141,1.81,No,72,31,31,1,143901531,57378281,0.3838147490426491,0.24836619235411594,201279812,0.5368543336076917,0.6161852509573509,0.7516338076458841,0,1,0.22125945293218538,1,0,0.006309148264984227,0.5309463722397476,0.5630566292730026,Medium,1,0.07401044876763103,0,1,0.5914988596125119,1.0,0.9328874,0.6126750108190612,High
4493,2023,Ministry of Infrastructure,Digital India,Maharashtra,Nagpur,Sitabuldi,Urban Transport Improvement,Hospital Upgrade,Vendor_1050,288559708,184192048,84619722,56500369,15627405,0.277,Completed,2024-10-08,2025-04-06,2025-07-23,70,1.39,No,180,108,108,1,104367660,99572326,0.36168479904339246,0.5405897110172747,203939986,0.7067514290664586,0.6383152009566075,0.45941028898272523,0,1,0.2765894325398123,0,1,0.017467248908296942,0.6526200873362445,0.7058458312062804,High,1,0.2812730616601866,1,0,0.5481791510740643,1.0,0.0055101626,0.6125273098425046,High
1668,2025,Ministry of Infrastructure,Ayushman Bharat,Gujarat,Surat,Adajan,Urban Transport Improvement,Water Pipeline,Vendor_1084,367898189,132203208,39737148,20723679,7807323,0.377,Completed,2023-11-09,2024-01-16,2024-05-02,8,4.93,No,68,107,107,1,235694981,92466060,0.6406527350424114,0.6994237235150905,328161041,0.8919887371340118,0.35934726495758856,0.3005762764849095,0,1,0.37673441091227095,0,1,0.00872093023255814,0.45130813953488375,0.4695978269155199,Medium,1,0.17780809864849184,1,1,0.5840686567464124,0.9892171461616307,0.9121098,0.6096930189992008,High
2321,2024,Ministry of Infrastructure,PM Gram Sadak Yojana,Uttar Pradesh,Lucknow,Gomti Nagar,Urban Housing Scheme,Hospital Upgrade,Vendor_1054,383605391,121261142,36655602,41715616,11398281,0.273,Completed,2023-05-14,2023-09-12,2023-12-07,28,3.62,No,121,86,86,1,262344249,84605540,0.6838909336391469,0.6977135346457483,346949789,0.9044445076633452,0.3161090663608531,0.30228646535425174,0,1,0.2732377486646727,0,1,0.006430868167202572,0.6509646302250804,0.7039030829343926,High,1,0.053847722667080856,0,1,0.5817489550774327,0.98864625,0.5471774,0.605723406695236,High
2622,2023,Ministry of Infrastructure,Jal Jeevan Mission,Gujarat,Surat,Adajan,Urban Housing Scheme,Road Construction,Vendor_1055,67973113,21668571,9808419,10252377,11362423,1.108,Completed,2023-09-03,2024-02-23,2024-06-19,143,1.17,No,173,117,117,1,46304542,11860152,0.6812184988496849,0.5473435234838513,58164694,0.8557014889107698,0.3187815011503151,0.45265647651614865,1,0,1.1082720621764104,1,1,0.01744186046511628,0.9026162790697675,0.9992268352766999,High,0,0.05092901130141393,0,1,0.58479163949058,0.0,0.9533525,0.602867775266841,High
2731,2025,Ministry of Infrastructure,Digital India,Gujarat,Surat,Adajan,State Road Development,Hospital Upgrade,Vendor_1008,370902943,226253978,140300834,168302736,39466238,0.234,Delayed,2024-02-15,2024-06-06,2024-09-19,10,2.21,Yes,112,105,105,1,144648965,85953144,0.3899914188602165,0.37989671942917175,230602109,0.621731677658864,0.6100085811397835,0.6201032805708282,0,1,0.234495522401965,0,0,0.005813953488372093,0.5508720930232558,0.5864402973591295,Medium,1,0.0459725811567657,0,1,0.5775662610464142,1.0,0.97611487,0.6026519188606332,High
1152,2025,Ministry of Infrastructure,Digital India,Karnataka,Mysore,VV Mohalla,State Road Development,Water Pipeline,Vendor_1069,356936351,223169712,145333170,154077547,45032785,0.292,Delayed,2024-02-03,2024-07-15,2024-07-29,114,1.9,No,163,14,14,1,133766639,77836542,0.3747632837766081,0.3487773555938451,211603181,0.592831692281182,0.6252367162233918,0.6512226444061548,0,1,0.29227350692440607,1,0,0.018292682926829267,0.5527439024390244,0.5886369441241012,Medium,1,0.052275805959654316,0,1,0.5793664848351219,1.0,0.92613167,0.602359195421673,High
